
## МОНТАЖ ВОЗДУХОВОДОВ
ВК01.01	Монтаж круглого воздуховода Ø до 100 мм	пог.м.	330-460
ВК02.01	Огнезащитная изоляция воздуховодов матами МБОР-5Ф (EI 60), толщина 5 мм	кв.м.	460-620
ВК02.02	Огнезащитная изоляция воздуховодов матами МБОР-8Ф (EI 90), толщина 8 мм  (Трудоёмкость выше за счёт большей толщины и веса матов)	кв.м.	550-750
ВК02.03	Огнезащитная изоляция воздуховодов матами МБОР-13Ф (EI 120), толщина 13 мм  (Наиболее трудоёмкий вариант; применяется на путях эвакуации и в технических этажах)	кв.м.	720-980
ВК02.04	Огнезащитная изоляция воздуховодов матами МБОР-25Ф (EI 150), толщина 25 мм  (Предел EI 150 применяется в высотных зданиях и объектах повышенной категории)	кв.м.	980-1300
ВК02.05	Огнезащитная изоляция воздуховодов в два слоя (EI 120–150), включая армирование  (Применяется при требованиях проекта к двухслойному исполнению (подземные паркинги, лечебные учреждения))	кв.м.	1240-1700
ВК02.06	Нанесение огнезащитной мастики «Плазас» на воздуховод (1 слой)	кв.м.	160-230
ВК02.07	Нанесение огнезащитной мастики «Плазас» на воздуховод (2 слоя)  (Нормируемое двухслойное нанесение — отдельная позиция, т.к. включает промежуточную сушку)	кв.м.	290-390
ВК02.08	Нанесение огнезащитного состава «Огракс-ВД» или аналога на воздуховод  (Альтернатива Плазасу — применяется по проекту; цена сопоставима, но расход и трудоёмкость отличаются)	кв.м.	200-290
ВК02.09	Изоляция воздуховода матами Rockwool Wired Mat 60 с алюминиевой фольгой и крепежом	кв.м.	490-680
ВК02.10	Изоляция воздуховода матами Rockwool Wired Mat 40 с алюминиевой фольгой и крепежом  (Мат 40 — более тонкий, применяется на внутренних воздуховодах в отапливаемых помещениях)	кв.м.	420-590
ВК02.11	Изоляция воздуховода матами Isover или URSA с алюминиевой фольгой  (Бюджетная альтернатива Rockwool — широко применяется в жилом строительстве)	кв.м.	390-550
ВК02.12	Изоляция воздуховода пенофолом (вспененный полиэтилен с фольгой)  (применяется для коротких участков и бытовых систем)	кв.м.	220-330
ВК02.13	Изоляция воздуховода минераловатными цилиндрами (для круглых воздуховодов Ø до 200 мм)  (Цилиндры — профессиональный способ изоляции круглых воздуховодов)	пог.м.	290-460
ВК02.14	Изоляция воздуховода самоклеящимся каучуковым утеплителем (Armaflex или аналог)  (Применяется на холодных воздуховодах (приточка ниже точки росы) для предотвращения конденсата)	кв.м.	490-690
ВК02.15	Изоляция воздуховода минеральной ватой с обёрткой стеклотканью и проволочным креплением  (включает намотку, крепёж и финишную обёртку)	кв.м.	460-620
ВК02.16	Изоляция фасонных элементов воздуховода (отводы, тройники, переходы)  (Трудоёмкость в 2–3 раза выше, чем на прямых участках; оплачивается отдельно)	шт.	390-780
ВК02.17	Изоляция фланцевых соединений и хомутов воздуховода  (Узловые элементы — частая причина теплопотерь при отсутствии изоляции фланцев)	шт.	200-360
ВК02.18	Устройство парозащитного барьера (паробарьерная лента, праймер) перед монтажом изоляции  (Обязателен для приточных воздуховодов в неотапливаемых зонах и кровельных пространствах)	кв.м.	130-170
ВК02.19	Демонтаж старой изоляции воздуховода с утилизацией	кв.м.	170-260

## МОНТАЖ ВОЗДУХОРАСПРЕДЕЛИТЕЛЬНЫХ УСТРОЙСТВ (решётки, диффузоры, анемостаты, шумоглушители)
ВК03.01	Установка потолочного диффузора или анемостата Ø до 100 мм  (Самый мелкий типоразмер — бытовые системы, санузлы)	шт.	360-490
ВК03.02	Установка потолочного диффузора или анемостата Ø 125–160 мм	шт.	420-590
ВК03.03	Установка потолочного диффузора или анемостата Ø 200 мм  (Промежуточный типоразмер — офисные и торговые помещения; отсутствовал в исходном прайсе)	шт.	520-720
ВК03.04	Установка потолочного диффузора или анемостата Ø 250 мм	шт.	620-850
ВК03.05	Установка потолочного диффузора или анемостата Ø 315 мм и более  (Крупный типоразмер для помещений с большим воздухообменом; отсутствовал в исходном прайсе)	шт.	780-1110
ВК03.06	Установка потолочного диффузора квадратного (панельного) типа с регулируемыми лопатками  (Панельные диффузоры 595×595 и 300×300 — стандарт офисного строительства под потолок Армстронг)	шт.	910-1300
ВК03.07	Установка линейного щелевого диффузора длиной до 600 мм  (Щелевые диффузоры — дорогой и трудоёмкий монтаж: требуют точной разметки и регулировки)	шт.	1040-1600
ВК03.08	Установка линейного щелевого диффузора длиной 601–1200 мм	шт.	1400-2100
ВК03.09	Установка линейного щелевого диффузора длиной свыше 1200 мм	шт.	2000-2900
ВК03.10	Установка вентиляционной решётки площадью в свету до 0,04 м² (примерно до 200×200 мм)	шт.	520-720
ВК03.11	Установка вентиляционной решётки площадью в свету до 0,09 м² (до 300×300 мм)	шт.	650-910
ВК03.12	Установка вентиляционной решётки площадью в свету 0,09–0,36 м² (до 600×600 мм)	шт.	850-1170
ВК03.13	Установка вентиляционной решётки площадью в свету 0,36–1,0 м² (до 1000×1000 мм)	шт.	1300-1800
ВК03.14	Установка вентиляционной решётки площадью в свету свыше 1,0 м²	шт.	1600-2300
ВК03.15	Установка фасадной жалюзийной решётки (наружный воздухозабор / выброс)  (монтаж сложнее из-за уличного расположения и герметизации примыканий)	шт.	1400-2100
ВК03.16	Установка переточной решётки в дверном полотне или перегородке  (Частая позиция в жилых и офисных проектах — обеспечивает переток воздуха между помещениями)	шт.	650-980
ВК03.17	Установка декоративной подрешётки (рамки) под вентиляционную решётку	шт.	490-720
ВК03.18	Установка регулируемой вентиляционной решётки с ручным приводом (шибер)  (Решётка с встроенным шибером — отдельная позиция из-за регулировочных работ после монтажа)	шт.	910-1300
ВК03.19	Установка поворотного струйного сопла (для больших залов, атриумов)  (Применяется в торговых центрах, спортивных залах; требует точной ориентации по проекту)	шт.	1600-2300
ВК03.20	Установка потолочного воздухораздающего плафона (колпака)  (Плафоны применяются в системах вытесняющей вентиляции и чистых помещениях)	шт.	780-1170
ВК03.21	Установка напольного или подоконного конвекторного воздухораспределителя  (Применяется в системах напольной (вытесняющей) вентиляции офисов и конференц-залов)	шт.	1170-1700
ВК03.22	Монтаж трубчатого (круглого) шумоглушителя Ø 100–160 мм	шт.	1170-1700
ВК03.23	Монтаж трубчатого (круглого) шумоглушителя Ø 200–315 мм  (Отдельная позиция для крупных диаметров — значительно тяжелее, требует крепёжных кронштейнов)	шт.	1600-2200
ВК03.24	Монтаж прямоугольного шумоглушителя сечением до 500×250 мм	шт.	2000-2900
ВК03.25	Монтаж прямоугольного шумоглушителя сечением 500×250–1000×500 мм  (Крупный шумоглушитель — монтаж требует двух человек и подъёмных приспособлений)	шт.	2900-4200
ВК03.26	Монтаж активного шумоглушителя (с звукопоглощающей набивкой, сборный)  (Применяется в студиях, переговорных, медучреждениях; трудоёмкость выше из-за сборки на месте)	шт.	3300-5200
ВК03.27	Балансировка (регулировка) воздухораспределительного устройства по расходу воздуха  (Выполняется после монтажа всей системы анемометром или балометром; критична для нормальной работы системы)	шт.	330-520
ВК03.28	Монтаж камеры статического давления (адаптер-бокс) под диффузор	шт.	520-780
ВК03.29	Герметизация примыканий решётки или диффузора к потолку / стене  (Отдельная позиция при чистовой отделке — силикон, акриловый герметик; устраняет зазоры и щели)	шт.	260-330

## МОНТАЖ ВЕНТИЛЯЦИОННОГО ОБОРУДОВАНИЯ (вентиляторы, приточные установки, рекуператоры)
ВК04.01	Монтаж канального вентилятора производительностью до 500 м³/ч (бытовой, Ø100–160 мм)	шт.	5200-8500
ВК04.02	Монтаж канального вентилятора производительностью 500–1 000 м³/ч	шт.	10000-14000
ВК04.03	Монтаж канального вентилятора производительностью 1 000–3 000 м³/ч	шт.	17000-23000
ВК04.04	Монтаж канального вентилятора производительностью 3 000–10 000 м³/ч	шт.	23000-34000
ВК04.05	Монтаж канального вентилятора производительностью 10 000–50 000 м³/ч (промышленный)	шт.	36000-55000
ВК04.06	Монтаж канального вентилятора прямоугольного сечения (для прямоугольных воздуховодов)  (Прямоугольные канальные вентиляторы — отдельный вид оборудования; стыковка с воздуховодом сложнее)	шт.	13000-21000
ВК04.07	Монтаж вентилятора с ШРМ-патрубком и виброизолирующими вставками (комплект)  (Доп. работа к монтажу вентилятора: установка гибких вставок и виброопор — снижает шум и вибрацию; часто обязательна по проекту)	шт.	4600-7200
ВК04.08	Монтаж радиального вентилятора производительностью до 3 000 м³/ч	шт.	7200-10000
ВК04.09	Монтаж радиального вентилятора производительностью 3 000–15 000 м³/ч	шт.	16000-23000
ВК04.10	Монтаж радиального вентилятора производительностью свыше 15 000 м³/ч на виброоснование  (Крупный промышленный вентилятор: монтаж на рамное виброоснование, центровка, подключение)	шт.	29000-46000
ВК04.11	Монтаж дымового (жаростойкого) радиального вентилятора систем дымоудаления  (Класс F200/F300/F400 — монтаж строго по проекту и нормам ПБ)	шт.	23000-36000
ВК04.12	Монтаж крышного вентилятора производительностью до 3 000 м³/ч	шт.	9100-13000
ВК04.13	Монтаж крышного вентилятора производительностью 3 000–10 000 м³/ч	шт.	14000-21000
ВК04.14	Монтаж крышного вентилятора производительностью свыше 10 000 м³/ч  (Тяжёлое оборудование; монтаж с применением крана или автовышки (оплачивается отдельно))	шт.	23000-36000
ВК04.15	Монтаж короба (поддона) под крышный вентилятор с гидроизоляцией примыкания	шт.	6500-10000
ВК04.16	Монтаж дефлектора или зонта над крышным вентилятором  (Защита от атмосферных осадков; обязателен при отсутствии собственного зонта в конструкции вентилятора)	шт.	3300-5200
ВК04.17	Монтаж бытового осевого вентилятора в вентиляционную шахту (санузел, кухня)	шт.	1600-2300
ВК04.18	Монтаж промышленного осевого вентилятора в стеновой проём  (Крупные осевые вентиляторы Ø 400–800 мм для производственных и складских помещений)	шт.	5900-9000
ВК04.19	Монтаж настенного вентилятора с обратным клапаном и декоративной решёткой  (Комплексная позиция для офисов и административных помещений; включает установку клапана и решётки)	шт.	2600-3900
ВК04.20	Монтаж приточной (приточно-вытяжной) установки производительностью до 300 м³/ч (бытовая)  (включает установку, подключение воздуховодов и электрики)	шт.	21000-29000
ВК04.21	Монтаж приточной установки производительностью 300–700 м³/ч  (включает установку, подключение воздуховодов и электрики)	шт.	29000-39000
ВК04.22	Монтаж приточной установки производительностью 700–1 500 м³/ч  (включает установку, подключение воздуховодов и электрики)	шт.	36000-52000
ВК04.23	Монтаж приточной установки производительностью 1 500–3 000 м³/ч  (включает установку, подключение воздуховодов и электрики)	шт.	49000-72000
ВК04.24	Монтаж приточной установки производительностью 3 000–10 000 м³/ч  (включает установку, подключение воздуховодов и электрики)	шт.	72000-111000
ВК04.25	Монтаж приточной установки производительностью свыше 10 000 м³/ч (промышленная)  (включает сборку секций, подключение, обвязку)	шт.	117000-195000
ВК04.26	Монтаж моноблочной приточно-вытяжной установки с рекуперацией (бытовая, до 500 м³/ч)  (Компактные Blauberg, Dantherm, Salda и аналоги — отдельная позиция, т.к. монтируются иначе, чем классические ПВУ)	шт.	26000-36000
ВК04.27	Монтаж пластинчатого (перекрёстноточного) рекуператора в воздуховодную систему  (включает монтаж обводного канала (байпаса) и конденсатоотвода)	шт.	7200-11100
ВК04.28	Монтаж роторного рекуператора в воздуховодную систему  (включает монтаж обводного канала (байпаса) и конденсатоотвода; роторный рекуператор сложнее в монтаже и требует точной центровки ротора)	шт.	12000-18000
ВК04.29	Монтаж гликолевого рекуперативного контура (два теплообменника + трубопроводы)  (Применяется при разнесённых приточной и вытяжной установках; включает монтаж насоса, расширительного бака, трубопроводов)	компл.	23000-36000
ВК04.30	Монтаж рамного виброизолирующего основания под вентилятор или установку  (Виброрама или пружинные виброизоляторы — обязательны для оборудования в жилых и офисных зданиях)	шт.	4600-7800
ВК04.31	Подключение вентилятора / установки к воздуховодной системе (фланцы, гибкие вставки)  (Стыковка оборудования с воздуховодами — отдельная позиция, если не включена в монтаж агрегата)	шт.	3300-5900
ВК04.32	Пусконаладка вентилятора: проверка направления вращения, замер токов, балансировка  (ПНР вентилятора — отдельная позиция; выполняется электриком совместно с монтажником вентиляции)	шт.	2600-4600
ВК04.33	Демонтаж вентилятора или приточной установки с сохранением для повторного монтажа  (Цена зависит от производительности оборудования; без разборки воздуховодной системы)	шт.	4600-10000

## МОНТАЖ РЕГУЛИРУЮЩЕЙ АРМАТУРЫ И ФИЛЬТРОВ (клапаны, заслонки, фильтры, камеры статического давления)
ВК05.01	Монтаж ручной воздушной заслонки (дроссель-клапана) круглого сечения Ø до 160 мм	шт.	650-980
ВК05.02	Монтаж ручной воздушной заслонки (дроссель-клапана) круглого сечения Ø 200–315 мм	шт.	910-1300
ВК05.03	Монтаж ручной воздушной заслонки прямоугольного сечения до 300×200 мм	шт.	1040-1600
ВК05.04	Монтаж ручной воздушной заслонки прямоугольного сечения 300×200–600×400 мм	шт.	1400-2100
ВК05.05	Монтаж ручной воздушной заслонки прямоугольного сечения свыше 600×400 мм  (Крупные заслонки монтируются вдвоём; требуют разметки и регулировки тяги)	шт.	2000-2900
ВК05.06	Монтаж электропривода воздушной заслонки (двухпозиционного, 24 В или 220 В)	шт.	2900-4200
ВК05.07	Монтаж электропривода воздушной заслонки (аналогового, с регулированием 0–10 В)  (Аналоговый привод — для систем с плавной регулировкой расхода (VAV-системы); трудоёмкость настройки выше)	шт.	3600-5200
ВК05.08	Монтаж многолопастной регулирующей заслонки (РВК, с параллельными или встречными лопатками)  (Применяется в узлах смешения, перед нагревателями и в системах с точным регулированием)	шт.	3300-5900
ВК05.09	Монтаж обратного клапана круглого сечения Ø до 160 мм	шт.	650-910
ВК05.10	Монтаж обратного клапана круглого сечения Ø 200–315 мм	шт.	910-1300
ВК05.11	Монтаж обратного клапана прямоугольного сечения	шт.	1170-1800
ВК05.12	Монтаж утеплённого воздушного клапана (с электроприводом и концевыми выключателями) на наружном воздухозаборе  (утеплённый наружный клапан значительно сложнее в монтаже)	шт.	4600-7200
ВК05.13	Монтаж клапана регулирования расхода воздуха VAV-типа с приводом  (VAV-клапан — элемент систем с переменным расходом воздуха; требует настройки и привязки к контроллеру)	шт.	5900-9100
ВК05.14	Монтаж нормально открытого противопожарного клапана (НО) с плавким замком, круглый Ø до 200 мм	шт.	4600-6500
ВК05.15	Монтаж нормально открытого противопожарного клапана (НО) круглый Ø 250–400 мм	шт.	6500-9800
ВК05.16	Монтаж нормально открытого противопожарного клапана (НО) прямоугольного сечения до 500×300 мм	шт.	7200-10400
ВК05.17	Монтаж нормально открытого противопожарного клапана (НО) прямоугольного сечения свыше 500×300 мм  (Крупные клапаны монтируются с опорными конструкциями)	шт.	9800-14000
ВК05.18	Монтаж нормально закрытого клапана дымоудаления (НЗ) с электроприводом  (Клапаны систем дымоудаления — монтаж строго по проекту ПБ; требуют подключения к АУПС и составления исполнительной документации)	шт.	8500-13000
ВК05.19	Монтаж комбинированного клапана дымоудаления и противопожарного (КПУ) с электроприводом  (КПУ — совмещённое изделие для систем ПДВ (противодымной вентиляции); наиболее трудоёмкий монтаж в данной группе)	шт.	11700-18000
ВК05.20	Проверка и регулировка противопожарного / дымового клапана после монтажа (тестирование привода)  (Обязательная процедура перед сдачей системы; фиксируется в протоколе проверки)	шт.	1040-1600
ВК05.21	Монтаж кассетного фильтра грубой очистки G3/G4 в круглый воздуховод (Ø до 200 мм)	шт.	780-1170
ВК05.22	Монтаж кассетного фильтра грубой очистки G3/G4 в круглый воздуховод (Ø 250–315 мм)	шт.	1170-1700
ВК05.23	Монтаж кассетного фильтра тонкой очистки F7/F8/F9 в прямоугольный воздуховод или фильтр-бокс	шт.	2000-2900
ВК05.24	Монтаж фильтр-бокса (корпуса фильтра) с кассетами на воздуховод  (Фильтр-бокс — самостоятельный узел; включает монтаж корпуса, уплотнений и установку кассет)	шт.	3300-5200
ВК05.25	Монтаж HEPA-фильтра (H13/H14) в фильтр-бокс или терминальный блок  (Применяется в чистых помещениях, медицинских и лабораторных объектах; требует проверки целостности фильтра после монтажа)	шт.	4600-7200
ВК05.26	Монтаж угольного (адсорбционного) фильтра в воздуховод или установку  (Применяется для удаления запахов и газовых загрязнений; рестораны, лаборатории, производства)	шт.	2600-4200
ВК05.27	Замена кассет воздушного фильтра (при плановом обслуживании)  (Отдельная позиция для сервисных договоров; цена без стоимости кассет)	шт.	650-1040
ВК05.28	Монтаж измерительной диафрагмы (шайбы) или пресс-штуцеров для балансировки системы  (Устанавливается на ответвлениях для возможности балансировки системы анемометром или манометром)	шт.	910-1400
ВК05.29	Монтаж гибкой вставки (виброизолирующего патрубка) в воздуховод  (Устанавливается между вентилятором / установкой и воздуховодом; снижает передачу вибрации на конструкции)	шт.	850-1240
ВК05.30	Демонтаж клапана, заслонки или фильтра из воздуховода  (Цена зависит от типа и размера изделия; без демонтажа прилегающих воздуховодов)	шт.	650-2000

## МОНТАЖ И ОБВЯЗКА НАГРЕВАТЕЛЕЙ
ВК06.01	Монтаж электрического канального нагревателя мощностью до 3 кВт (круглый, Ø до 160 мм)	шт.	5900-8500
ВК06.02	Монтаж электрического канального нагревателя мощностью 3–9 кВт (круглый Ø 200–315 мм или прямоугольный)	шт.	8500-12400
ВК06.03	Монтаж электрического канального нагревателя мощностью 9–24 кВт  (Нагреватели такой мощности подключаются к трёхфазной сети; требуют отдельного ввода и автоматики защиты)	шт.	12400-18000
ВК06.04	Монтаж электрического канального нагревателя мощностью свыше 24 кВт (промышленный)  (Промышленные ТЭН-секции; монтаж включает устройство опорных конструкций и подключение силового щита)	шт.	18000-29000
ВК06.05	Подключение электрического нагревателя к силовой цепи (прокладка кабеля, подключение к щиту автоматики)  (Отдельная позиция — выполняется электриком совместно с монтажником; без неё нагреватель не работает)	шт.	4600-7800
ВК06.06	Монтаж термостата защиты от перегрева (STB) и датчика температуры воздуха за нагревателем  (Обязательная защитная автоматика для электрических нагревателей; требуется нормами ПБ)	шт.	2600-4200
ВК06.07	Монтаж водяного канального нагревателя (калорифера) мощностью до 10 кВт (малый типоразмер)	шт.	9800-14000
ВК06.08	Монтаж водяного канального нагревателя (калорифера) мощностью 10–30 кВт	шт.	14000-21000
ВК06.09	Монтаж водяного канального нагревателя (калорифера) мощностью свыше 30 кВт (промышленный)  (Крупные калориферы монтируются на опорных рамах; требуют гидравлических испытаний после обвязки)	шт.	21000-34000
ВК06.10	Сборка и монтаж узла обвязки водяного нагревателя (2-ходовый клапан, насос, арматура) — малый типоразмер до 10 кВт	компл.	18000-26000
ВК06.11	Сборка и монтаж узла обвязки водяного нагревателя (3-ходовый клапан, насос, расширительный бак, арматура) — средний типоразмер 10–30 кВт  (3-ходовая схема обвязки — стандарт для центральных систем отопления; трудоёмкость значительно выше 2-ходовой)	компл.	29000-42000
ВК06.12	Сборка и монтаж узла обвязки водяного нагревателя — крупный типоразмер свыше 30 кВт  (Включает монтаж насосной группы, предохранительного клапана, манометров, кранов Маевского и теплоизоляцию трубопроводов обвязки)	компл.	42000-65000
ВК06.13	Подключение узла обвязки водяного нагревателя к системе теплоснабжения здания  (включает врезку в существующий трубопровод, опрессовку и промывку)	шт.	5900-9100
ВК06.14	Теплоизоляция трубопроводов обвязки нагревателя (каучук или минвата)  (Обязательна для трубопроводов в неотапливаемых зонах и технических помещениях; предотвращает конденсат и теплопотери)	пог.м.	390-650
ВК06.15	Монтаж узла защиты калорифера от замерзания (термостат, клапан аварийного слива)  (Критически важный узел для северных регионов, защищает калорифер при аварийном отключении теплоснабжения)	шт.	7200-11100
ВК06.16	Гидравлическое испытание (опрессовка) узла обвязки нагревателя  (Обязательная процедура перед сдачей в эксплуатацию; оформляется актом гидравлических испытаний)	шт.	3300-5200
ВК06.17	Монтаж фреоновой секции охлаждения (испарителя) в приточную установку или воздуховод  (Фреоновая секция — элемент системы кондиционирования, встраиваемый в вентустановку; монтаж совместно с фреоновой трассой)	шт.	10000-18000
ВК06.18	Монтаж водяной секции охлаждения (чиллерного охладителя) в приточную установку  (Применяется в системах с чиллером; обвязка аналогична водяному нагревателю — арматура, насос, клапан)	шт.	13000-21000
ВК06.19	Сборка и монтаж узла обвязки водяного охладителя (клапан, насос, арматура)  (Обвязка охладителя идентична обвязке водяного нагревателя по составу работ)	компл.	23000-36000
ВК06.20	Монтаж узла обвязки (шаровые краны, фильтр, обратный клапан) без насоса и регулирующего клапана	шт.	4600-7200
ВК06.21	Демонтаж нагревателя (калорифера) с сохранением или с отправкой в утиль  (Цена зависит от типоразмера и доступности; включает слив теплоносителя и заглушение отводов)	шт.	5200-10400
ВК06.22	Промывка и химическая очистка водяного нагревателя (калорифера) без демонтажа  (Сервисная позиция — актуальна при падении теплоотдачи калорифера из-за накипи и отложений)	шт.	6500-11700

## АВТОМАТИЗАЦИЯ И ПУСКОНАЛАДКА СИСТЕМ ВЕНТИЛЯЦИИ
ВК07.01	Монтаж щита автоматики вентиляции (ЩАВ) на стену или в нишу — малый (до 6 точек управления)  (Включает установку щита, монтаж DIN-рейки, маркировку клемм, прозвонку цепей)	шт.	13000-20000
ВК07.02	Монтаж щита автоматики вентиляции (ЩАВ) — средний (7–16 точек управления)  (Включает установку щита, монтаж DIN-рейки, маркировку клемм, прозвонку цепей)	шт.	23000-36000
ВК07.03	Монтаж щита автоматики вентиляции (ЩАВ) — крупный (свыше 16 точек управления)  (Шкафной вариант на стойке или напольный; применяется для центральных вентустановок и систем ПДВ)	шт.	39000-72000
ВК07.04	Монтаж пульта (панели) местного управления вентилятором или установкой  (Кнопочный пост или сенсорная панель управления непосредственно у оборудования)	шт.	4600-7200
ВК07.05	Монтаж частотного преобразователя (ЧП/ВФД) для регулирования скорости вентилятора  (Включает установку, подключение силовых цепей и цепей управления, первичную настройку параметров)	шт.	7200-11700
ВК07.06	Монтаж одного элемента автоматики (датчик, реле, таймер, терморегулятор)	шт.	2000-3300
ВК07.07	Монтаж датчика температуры воздуха в воздуховод или помещение  (Канальный или накладной; включает монтаж гильзы, подключение и проверку сигнала)	шт.	2300-3600
ВК07.08	Монтаж датчика качества воздуха (CO₂, VOC, влажность) в помещение или воздуховод  (Применяется в системах автоматического регулирования воздухообмена по качеству воздуха (DCV-системы))	шт.	3300-5200
ВК07.09	Монтаж датчика перепада давления на фильтре или вентиляторе (реле или аналоговый)  (Сигнализирует о засорении фильтра или нештатной работе вентилятора; обязателен для систем с фильтрами F7 и выше)	шт.	2900-4600
ВК07.10	Монтаж термостата защиты от замерзания (воздушного, накладного на воздуховод)  (Аварийное отключение приточной установки при падении температуры воздуха ниже +5°С)	шт.	2600-4200
ВК07.11	Монтаж реле контроля работы вентилятора (реле перепада давления на канале)  (Подтверждает фактическую работу вентилятора; отличается от пускового реле)	шт.	2300-3600
ВК07.12	Монтаж привода воздушной заслонки с подключением к щиту автоматики	шт.	3600-5500
ВК07.13	Монтаж регулятора скорости вентилятора (симисторного или трансформаторного)  (применяется для ступенчатого регулирования без ЧП)	шт.	4600-7200
ВК07.14	Прокладка сигнального кабеля автоматики в лотке или гофротрубе	пог.м.	130-170
ВК07.15	Прокладка силового кабеля питания вентилятора, нагревателя или щита автоматики  (Силовой кабель ВВГнг, КГ — прокладка в кабельном лотке или металлорукаве)	пог.м.	160-260
ВК07.16	Монтаж кабельного лотка (перфолотка) для трасс автоматики вентиляции  (Включает установку кронштейнов, укладку лотка и крышки; ширина лотка до 100 мм)	пог.м.	460-720
